country,totalCases,totalDeaths,totalRecovered,percentDeaths,percentRecovered,rankPercentRecovered,rankPercentDeaths
Bangladesh,2045159.0,29476.0,1998448.0,1.4412571345308605,97.71602110153783,122,153
Slovakia,1866983.0,21167.0,1845690.0,1.133754297709192,98.85949684598091,71,131
Georgia,1850905.0,17122.0,1776548.0,0.9250609836809561,95.98266793811676,155,115
Jordan,1746997.0,14122.0,1731007.0,0.8083585718807761,99.08471508537221,55,101
Ireland,1717490.0,9162.0,1705481.0,0.5334528876441784,99.30078195506233,35,67
Pakistan,1581527.0,30663.0,1538689.0,1.938822416563233,97.2913519655371,134,178
Norway,1486695.0,5620.0,1480863.0,0.3780197014182465,99.60772048066349,20,47
Finland,1484052.0,10157.0,1473335.0,0.6844099802432799,99.27785549293421,39,84
Kazakhstan,1411831.0,13848.0,1383020.0,0.9808539407336997,97.95931666042182,114,121
Slovenia,1344472.0,7100.0,1337079.0,0.5280883499247289,99.45011870831078,26,66
Lithuania,1322861.0,9695.0,1312378.0,0.7328812324197327,99.20755090670902,47,93
Bulgaria,1310550.0,38448.0,1270456.0,2.933730113311205,96.94067376292396,141,209
Morocco,1275394.0,16297.0,1256151.0,1.2778012128016911,98.49121134331821,92,146
Guatemala,1275314.0,20251.0,1253269.0,1.5879226606153465,98.27140610077204,100,160
Croatia,1274281.0,18292.0,1255780.0,1.4354761626360277,98.54812243139465,91,152
Costa Rica,1238883.0,9428.0,860711.0,0.7610081016528599,69.47476073204652,194,99
Lebanon,1238552.0,10936.0,1087587.0,0.8829665609518212,87.81116981765804,178,112
Bolivia,1207206.0,22399.0,1177145.0,1.8554414076802135,97.5098698979296,129,174
Tunisia,1153361.0,29423.0,,2.551065971538833,-1.0,-1,207
Cuba,1115111.0,8530.0,1106516.0,0.7649462699229046,99.22922471395225,44,100
Ecuador,1069114.0,36042.0,1033072.0,3.371202696812501,96.6287973031875,149,214
UAE,1067030.0,2349.0,1054525.0,0.2201437635305474,98.82805544361452,74,30
Panama,1047690.0,8657.0,1038881.0,0.8262940373583789,99.15919785432715,49,103
Uruguay,1038774.0,7634.0,1030944.0,0.7349048012368427,99.24622680198003,43,95
Mongolia,1010975.0,2179.0,1008792.0,0.21553450876629,99.7840698335765,8,28
Nepal,1003417.0,12031.0,991322.0,1.1990030067260171,98.79461878760276,77,137
Belarus,994037.0,7118.0,985592.0,0.7160699249625517,99.1504340381696,50,89
Latvia,978354.0,6392.0,971406.0,0.6533422462626002,99.28982760841167,37,81
Saudi Arabia,841469.0,9646.0,827923.0,1.1463286229201552,98.39019619261077,95,132
